Metric;Static (S) or Temporal (T) Data Layer, or Not Available/Applicable (NA);Pressure (P), State(S), Response (R), Benefit (B) ;Top-down (T), Bottom-up (B), Neither (0), Unknown (U) [State metrics only];Significance (S), Intactness (I), Neither (0), Unknown (U) [State metrics only];Realm;Composition;Function;Structure;Biosfere level;Ecosystem level;Community level;Species level;Functional group level;Individual level;Genome level;Chromosome level;Gene level;Enzyme level;Type of organism;Business Use
EDGE Index;NA;S;B;S;Terrestrial and Marine;1;0;0;0;1;1;1;1;0;0;0;0;0;Animals;N
EDGE2 (updated EDGE);S;S;B;S;Terrestrial and Marine;1;0;0;0;1;1;1;1;0;0;0;0;0;Animals;N
Endemic Bird Areas;S;S;B;S;Terrestrial;1;0;0;0;1;1;1;1;0;0;0;0;0;Birds;N
ESA CCI Land Cover (1992-2020);T;S;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Not applies;
ESA CGLS Land Cover 2015-2019 (100m);T;S;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Not applies;N
ESA WorldCover 2020;T;S;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Not applies;N
Esri 2020 Land Cover 10m (IO);S;S;0;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Not applies;N
Expected loss of Phylogenetic Diversity ;T;S;B;S;Terrestrial Marine Freshwater;1;0;0;0;0;0;1;0;0;1;0;0;0;All;N
Extents/areas of 59 standardized ecosystem types globally;T;S;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Not applies;N
Farmland Biodiversity Score;NA;S;B;0;Terrestrial;1;0;0;0;1;1;0;0;0;0;0;0;0;Not applies;N
Farmland Bird Index (% of annual change);T;S;B;I;Terrestrial;1;0;0;0;0;1;0;1;0;0;0;0;0;Birds;N
Flowering plant phylogentic and taxonomic diversity;S;S;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Plants;N
Forest area as a percentage of total land area ;T;S;B;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Forest Connectivity (2013);S;S;B;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Forest Fragmentation - 2000 (500m - 25pct - 0km);S;S,P;B;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Forest Fragmentation Index;T;S;B;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Forest Fragmentation Index and Dynamic Forest Fragmentation Index;;S;T;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;Y
Forest Integrity Project: Forest Canopy Height;S;S;B;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Forest Integrity Project: Forest Structural Condition Index (SCI);S;S;B;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Forest Integrity Project: Forest Structural Integrity Index (FSII);S;S;B;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Forest Landscape Integrity Index;S;S;B;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
GEDI Biomass Map;T;S;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Generalised Biogeographical Realms;S;S;0;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Generalised Original and Current Forest;S;S;B;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
GLAD Global land cover and land use 2019;S;S,P;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
GLAD Global Land Cover and Land Use Change 2000-2020;T;S;B;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Global 30m Cropland Extent 2015;S;S,P;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Global Above- and Below-ground Living Biomass Carbon Density;S;S;B;0;Terrestrial;0;1;0;1;1;1;0;0;0;0;0;0;0;Plants;N
Global Agricultural Lands: Croplands, 2000;S;S,P;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Global Agricultural Lands: Pastures, 2000;S;S,P;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
